page,x0,y0,x1,y1,text
1,2184.0,59.0,2332.0,116.0,20248
1,2905.0,63.0,2963.0,100.0,10
1,2636.0,67.0,2659.0,100.0,1
1,2617.0,200.0,2893.0,233.0,KEWTOPIA
1,1026.0,276.0,1043.0,338.0,ば
1,1223.0,276.0,1260.0,338.0,し
1,700.0,283.0,950.0,329.0,MAURE
1,1011.0,283.0,1027.0,329.0,ヴ
1,1259.0,283.0,1292.0,325.0,ぼ
1,1481.0,283.0,1530.0,329.0,置
1,1571.0,283.0,1647.0,325.0,いま
1,1767.0,283.0,2038.0,329.0,MERAY
1,1046.0,288.0,1120.0,329.0,ロ
1,1155.0,288.0,1182.0,325.0,元
1,1205.0,288.0,1224.0,325.0,の
1,1300.0,288.0,1346.0,325.0,み
1,1650.0,288.0,1730.0,325.0,ぶた
1,2055.0,288.0,2113.0,325.0,oO
1,1542.0,296.0,1563.0,325.0,た
1,488.0,392.0,653.0,589.0,代
1,767.0,392.0,883.0,589.0,ゆ
1,1998.0,392.0,2130.0,589.0,に
1,2638.0,392.0,2754.0,589.0,ル
1,2753.0,392.0,2885.0,589.0,。
1,1588.0,396.0,1802.0,567.0,の
1,1193.0,400.0,1359.0,567.0,世
1,1423.0,400.0,1542.0,567.0,代
1,2255.0,404.0,2326.0,563.0,届く
1,2363.0,404.0,2884.0,567.0,ジェ
1,213.0,408.0,646.0,567.0,70
1,684.0,408.0,768.0,563.0,、
1,882.0,417.0,984.0,554.0,る
1,1013.0,417.0,1167.0,558.0,み
1,1913.0,433.0,1999.0,554.0,顔
1,731.0,680.0,761.0,738.0,8
1,591.0,684.0,613.0,734.0,Ee
1,246.0,688.0,346.0,734.0,tH
1,642.0,688.0,759.0,717.0,a-
1,2809.0,688.0,2893.0,767.0,硬
1,1538.0,696.0,1642.0,792.0,みみ
1,2142.0,709.0,2176.0,734.0,"""="
1,250.0,734.0,275.0,775.0,2
1,300.0,738.0,346.0,829.0,し
1,242.0,779.0,283.0,817.0,や
1,696.0,788.0,759.0,829.0,年
1,1538.0,796.0,1642.0,842.0,2m
1,1951.0,796.0,1955.0,813.0,け
1,1971.0,796.0,2026.0,821.0,て
1,2384.0,813.0,2388.0,817.0,>
1,242.0,821.0,283.0,913.0,を
1,579.0,821.0,663.0,900.0,シッ
1,692.0,829.0,713.0,871.0,ャ
1,1709.0,829.0,1734.0,904.0,=
1,304.0,834.0,342.0,875.0,け
1,1792.0,834.0,1812.0,854.0,5
1,510.0,842.0,554.0,879.0,で
1,1546.0,846.0,1575.0,892.0,き
1,1605.0,850.0,1638.0,892.0,し
1,2809.0,859.0,2896.0,938.0,肌
1,508.0,880.0,554.0,954.0,MF
1,642.0,884.0,665.0,942.0,&
1,1663.0,888.0,1734.0,950.0,tz
1,1546.0,896.0,1638.0,938.0,zu
1,578.0,913.0,603.0,950.0,a
1,2297.0,913.0,2439.0,996.0,the
1,2472.0,913.0,2526.0,996.0,oO
1,2822.0,950.0,2880.0,1017.0,に
